item_id,b
adaptive-rejection-sampler,1.0497488975524902
break-filter-js-from-html,1.1367840766906738
build-cython-ext,0.352389395236969
build-pmars,-1.2907793521881104
build-pov-ray,-1.5253949165344238
caffe-cifar-10,4.431327819824219
cancel-async-tasks,0.3847380578517914
chess-best-move,2.1388516426086426
circuit-fibsqrt,0.8533222079277039
code-from-image,-2.0629184246063232
compile-compcert,0.10777362436056137
configure-git-webserver,-0.8308748602867126
count-dataset-tokens,-0.013818011619150639
crack-7z-hash,-1.3545644283294678
custom-memory-heap-crash,-2.0392072200775146
db-wal-recovery,3.219008445739746
dna-insert,4.812922954559326
extract-elf,0.27223488688468933
extract-moves-from-video,6.256564140319824
feal-differential-cryptanalysis,0.5218401551246643
feal-linear-cryptanalysis,0.8096179366111755
filter-js-from-html,6.229013919830322
financial-document-processor,1.3816121816635132
fix-code-vulnerability,-1.2567468881607056
fix-ocaml-gc,-0.7571711540222168
git-multibranch,-2.335999011993408
gpt2-codegolf,4.770038604736328
headless-terminal,-2.414783000946045
hf-model-inference,-1.7845616340637207
install-windows-3.11,5.320333480834961
kv-store-grpc,-0.995783805847168
large-scale-text-editing,-0.5621809363365173
largest-eigenval,0.32148978114128113
llm-inference-batching-scheduler,-0.15145482122898102
log-summary-date-ranges,-1.9021084308624268
mailman,-0.40350958704948425
make-doom-for-mips,9.130767822265625
make-mips-interpreter,3.5551533699035645
mcmc-sampling-stan,-0.900170624256134
merge-diff-arc-agi-task,-2.100823402404785
model-extraction-relu-logits,3.602994918823242
mteb-leaderboard,3.3285911083221436
mteb-retrieve,4.505754470825195
multi-source-data-merger,-5.246770858764648
nginx-request-logging,-3.1968138217926025
openssl-selfsigned-cert,-1.35666024684906
overfull-hbox,0.6360848546028137
password-recovery,0.22595646977424622
path-tracing-reverse,2.18552303314209
polyglot-c-py,2.3521010875701904
portfolio-optimization,-3.835869550704956
protein-assembly,1.9930424690246582
prove-plus-comm,-4.645047187805176
pypi-server,-1.6633479595184326
pytorch-model-cli,-0.9420884251594543
pytorch-model-recovery,-0.09457764029502869
qemu-alpine-ssh,1.3090230226516724
qemu-startup,-1.2946823835372925
raman-fitting,5.333571910858154
regex-log,-2.147582530975342
reshard-c4-data,-0.4900633692741394
rstan-to-pystan,0.5999547243118286
sam-cell-seg,6.295076847076416
schemelike-metacircular-eval,1.3722665309906006
sparql-university,0.8219869136810303
sqlite-db-truncate,-0.46893981099128723
sqlite-with-gcov,-1.9616332054138184
torch-pipeline-parallelism,3.6448702812194824
torch-tensor-parallelism,3.5990328788757324
video-processing,6.268465518951416
write-compressor,1.9005881547927856
